state,target,city
Louisiana,"Morehouse Parish, Louisiana",Parish
District of Columbia,"Washington city, District of Columbia",City
Louisiana,"Natchitoches Parish, Louisiana",Parish
Louisiana,"Orleans Parish, Louisiana",Parish
Louisiana,"Washington Parish, Louisiana",Parish
Louisiana,"Webster Parish, Louisiana",Parish
Florida,"Sanford city, Florida",City
Florida,"Altamonte Springs city, Florida",City
Louisiana,"Acadia Parish, Louisiana",Parish
Louisiana,"Beauregard Parish, Louisiana",Parish
Florida,"Daytona Beach city, Florida",City
Louisiana,"Bossier Parish, Louisiana",Parish
Louisiana,"Caddo Parish, Louisiana",Parish
Louisiana,"Calcasieu Parish, Louisiana",Parish
Louisiana,"East Baton Rouge Parish, Louisiana",Parish
Louisiana,"Evangeline Parish, Louisiana",Parish
Louisiana,"Iberia Parish, Louisiana",Parish
Louisiana,"Iberville Parish, Louisiana",Parish
Louisiana,"Jefferson Davis Parish, Louisiana",Parish
Louisiana,"Lafourche Parish, Louisiana",Parish
Louisiana,"Lincoln Parish, Louisiana",Parish
Louisiana,"Livingston Parish, Louisiana",Parish
Louisiana,"Ouachita Parish, Louisiana",Parish
Louisiana,"St. John the Baptist Parish, Louisiana",Parish
Florida,"Fort Pierce city, Florida",City
Louisiana,"St. Landry Parish, Louisiana",Parish
Louisiana,"St. Martin Parish, Louisiana",Parish
Louisiana,"St. Mary Parish, Louisiana",Parish
Louisiana,"Tangipahoa Parish, Louisiana",Parish
Louisiana,"Vermilion Parish, Louisiana",Parish
Louisiana,"Vernon Parish, Louisiana",Parish
Louisiana,"West Baton Rouge Parish, Louisiana",Parish
Florida,"Gainesville city, Florida",City
Florida,"Jacksonville city, Florida",City
Florida,"Key West city, Florida",City
Florida,"Miami Beach city, Florida",City
Florida,"Ocala city, Florida",City
Florida,"Panama City city, Florida",City
Florida,"Riviera Beach city, Florida",City
Florida,"St. Cloud city, Florida",City
Florida,"St. Petersburg city, Florida",City
Florida,"Tallahassee city, Florida",City
Massachusetts,"Berkshire County, Massachusetts",County
Florida,"Titusville city, Florida",City
Florida,"Bayonet Point CDP, Florida",Census Defined Place (CDP)
Florida,"Cutler Bay town, Florida",Town
Florida,"Boynton Beach city, Florida",City
Michigan,"Wayne County, Michigan",County
Florida,"Buenaventura Lakes CDP, Florida",Census Defined Place (CDP)
Florida,"Cape Coral city, Florida",City
Florida,"Carrollwood CDP, Florida",Census Defined Place (CDP)
Michigan,"Calhoun County, Michigan",County
Michigan,"Genesee County, Michigan",County
Michigan,"Muskegon County, Michigan",County
Florida,"Casselberry city, Florida",City
Florida,"Clearwater city, Florida",City
Florida,"Coconut Creek city, Florida",City
Florida,"East Lake-Orient Park CDP, Florida",Census Defined Place (CDP)
Florida,"Egypt Lake-Leto CDP, Florida",Census Defined Place (CDP)
Florida,"Fort Lauderdale city, Florida",City
Florida,"Fort Myers city, Florida",City
Florida,"Golden Glades CDP, Florida",Census Defined Place (CDP)
Florida,"Homestead city, Florida",City
Mississippi,"Hinds County, Mississippi",County
Mississippi,"Jackson County, Mississippi",County
Florida,"Immokalee CDP, Florida",Census Defined Place (CDP)
Florida,"Lakeland city, Florida",City
Florida,"Lake Magdalene CDP, Florida",Census Defined Place (CDP)
Florida,"Lake Worth city, Florida",City
Florida,"Largo city, Florida",City
Florida,"Lauderhill city, Florida",City
Florida,"Lehigh Acres CDP, Florida",Census Defined Place (CDP)
Florida,"Leisure City CDP, Florida",Census Defined Place (CDP)
Florida,"Melbourne city, Florida",City
Florida,"Merritt Island CDP, Florida",Census Defined Place (CDP)
Missouri,"Jackson County, Missouri",County
Missouri,"Jasper County, Missouri",County
Florida,"Miami city, Florida",City
Florida,"Miami Gardens city, Florida",City
Florida,"Navarre CDP, Florida",Census Defined Place (CDP)
Florida,"North Fort Myers CDP, Florida",Census Defined Place (CDP)
Florida,"North Miami city, Florida",City
Florida,"Orlando city, Florida",City
Florida,"Oviedo city, Florida",City
New Jersey,"Camden County, New Jersey",County
New Jersey,"Cumberland County, New Jersey",County
New Jersey,"Mercer County, New Jersey",County
New Jersey,"Ocean County, New Jersey",County
Florida,"Palm Bay city, Florida",City
Florida,"Pensacola city, Florida",City
Florida,"Plant City city, Florida",City
Florida,"Port Charlotte CDP, Florida",Census Defined Place (CDP)
Florida,"Port Orange city, Florida",City
Florida,"Port St. Lucie city, Florida",City
Florida,"Princeton CDP, Florida",Census Defined Place (CDP)
New Mexico,"San Juan County, New Mexico",County
Florida,"Royal Palm Beach village, Florida",Village
Florida,"Sarasota city, Florida",City
New York,"Schenectady County, New York",County
Florida,"Spring Hill CDP, Florida",Census Defined Place (CDP)
Florida,"Tamarac city, Florida",City
Florida,"Tampa city, Florida",City
New York,"Albany County, New York",County
New York,"Broome County, New York",County
New York,"Erie County, New York",County
Florida,"The Acreage CDP, Florida",Census Defined Place (CDP)
Florida,"The Hammocks CDP, Florida",Census Defined Place (CDP)
Florida,"West Little River CDP, Florida",Census Defined Place (CDP)
New York,"Oneida County, New York",County
New York,"Oswego County, New York",County
New York,"Rensselaer County, New York",County
New York,"Steuben County, New York",County
New York,"Ulster County, New York",County
Florida,"West Palm Beach city, Florida",City
Florida,"Winter Haven city, Florida",City
Georgia,"East Point city, Georgia",City
Georgia,"Albany city, Georgia",City
Georgia,"Atlanta city, Georgia",City
Georgia,"Columbus city, Georgia",City
Georgia,"Dalton city, Georgia",City
Georgia,"Hinesville city, Georgia",City
Georgia,"LaGrange city, Georgia",City
Georgia,"Rome city, Georgia",City
Georgia,"Savannah city, Georgia",City
Georgia,"Tucker city, Georgia",City
North Carolina,"Catawba County, North Carolina",County
North Carolina,"Cleveland County, North Carolina",County
North Carolina,"Craven County, North Carolina",County
North Carolina,"Cumberland County, North Carolina",County
North Carolina,"Davidson County, North Carolina",County
North Carolina,"Gaston County, North Carolina",County
North Carolina,"Harnett County, North Carolina",County
North Carolina,"Moore County, North Carolina",County
North Carolina,"Nash County, North Carolina",County
Georgia,"Valdosta city, Georgia",City
North Carolina,"Onslow County, North Carolina",County
North Carolina,"Pitt County, North Carolina",County
North Carolina,"Randolph County, North Carolina",County
North Carolina,"Robeson County, North Carolina",County
North Carolina,"Rockingham County, North Carolina",County
North Carolina,"Rowan County, North Carolina",County
North Carolina,"Wayne County, North Carolina",County
Georgia,"Warner Robins city, Georgia",City
Georgia,"Augusta-Richmond County consolidated government (balance), Georgia",CONS (BAL)
Georgia,"Martinez CDP, Georgia",Census Defined Place (CDP)
Georgia,"Redan CDP, Georgia",Census Defined Place (CDP)
Georgia,"Carrollton city, Georgia",City
Georgia,"Evans CDP, Georgia",Census Defined Place (CDP)
Georgia,"Gainesville city, Georgia",City
Georgia,"Mableton CDP, Georgia",Census Defined Place (CDP)
Georgia,"Stonecrest city, Georgia",City
Hawaii,"East Honolulu CDP, Hawaii",Census Defined Place (CDP)
Hawaii,"Hilo CDP, Hawaii",Census Defined Place (CDP)
Hawaii,"Kahului CDP, Hawaii",Census Defined Place (CDP)
Hawaii,"Urban Honolulu CDP, Hawaii",Census Defined Place (CDP)
Idaho,"Pocatello city, Idaho",City
Illinois,"Alton city, Illinois",City
Illinois,"East St. Louis city, Illinois",City
Ohio,"Allen County, Ohio",County
Ohio,"Ashtabula County, Ohio",County
Ohio,"Butler County, Ohio",County
Ohio,"Clark County, Ohio",County
Ohio,"Columbiana County, Ohio",County
Ohio,"Cuyahoga County, Ohio",County
Ohio,"Hamilton County, Ohio",County
Ohio,"Lucas County, Ohio",County
Ohio,"Mahoning County, Ohio",County
Ohio,"Montgomery County, Ohio",County
Ohio,"Richland County, Ohio",County
Ohio,"Stark County, Ohio",County
Ohio,"Summit County, Ohio",County
Illinois,"Harvey city, Illinois",City
Illinois,"Belleville city, Illinois",City
Illinois,"Calumet City city, Illinois",City
Illinois,"Chicago city, Illinois",City
Illinois,"Chicago Heights city, Illinois",City
Illinois,"Decatur city, Illinois",City
Illinois,"Galesburg city, Illinois",City
Illinois,"Granite City city, Illinois",City
Illinois,"Kankakee city, Illinois",City
Illinois,"North Chicago city, Illinois",City
Illinois,"Rockford city, Illinois",City
Illinois,"Rock Island city, Illinois",City
Illinois,"Springfield city, Illinois",City
Illinois,"Cicero town, Illinois",Town
Illinois,"Niles village, Illinois",Village
Illinois,"Skokie village, Illinois",Village
Illinois,"Aurora city, Illinois",City
Illinois,"Bartlett village, Illinois",Village
Oklahoma,"Oklahoma County, Oklahoma",County
Illinois,"Belvidere city, Illinois",City
Illinois,"Berwyn city, Illinois",City
Illinois,"Carbondale city, Illinois",City
Illinois,"DeKalb city, Illinois",City
Illinois,"Evanston city, Illinois",City
Illinois,"Moline city, Illinois",City
Pennsylvania,"Allegheny County, Pennsylvania",County
Pennsylvania,"Beaver County, Pennsylvania",County
Pennsylvania,"Blair County, Pennsylvania",County
Pennsylvania,"Cambria County, Pennsylvania",County
Pennsylvania,"Fayette County, Pennsylvania",County
Pennsylvania,"Luzerne County, Pennsylvania",County
Pennsylvania,"Mercer County, Pennsylvania",County
Pennsylvania,"Northumberland County, Pennsylvania",County
Pennsylvania,"Philadelphia County, Pennsylvania",County
Pennsylvania,"Schuylkill County, Pennsylvania",County
Pennsylvania,"Washington County, Pennsylvania",County
Pennsylvania,"Westmoreland County, Pennsylvania",County
Illinois,"Oak Lawn village, Illinois",Village
Illinois,"Park Ridge city, Illinois",City
Illinois,"Peoria city, Illinois",City
Illinois,"Quincy city, Illinois",City
Illinois,"Urbana city, Illinois",City
Illinois,"Waukegan city, Illinois",City
Illinois,"Woodstock city, Illinois",City
Indiana,"East Chicago city, Indiana",City
Indiana,"Gary city, Indiana",City
Indiana,"Anderson city, Indiana",City
South Carolina,"Aiken County, South Carolina",County
South Carolina,"Anderson County, South Carolina",County
South Carolina,"Florence County, South Carolina",County
South Carolina,"Richland County, South Carolina",County
South Carolina,"Spartanburg County, South Carolina",County
South Carolina,"Sumter County, South Carolina",County
Indiana,"Elkhart city, Indiana",City
Indiana,"Evansville city, Indiana",City
Indiana,"Hammond city, Indiana",City
Indiana,"Kokomo city, Indiana",City
Tennessee,"Madison County, Tennessee",County
Tennessee,"Shelby County, Tennessee",County
Tennessee,"Sullivan County, Tennessee",County
Indiana,"Marion city, Indiana",City
Indiana,"Michigan City city, Indiana",City
Indiana,"Muncie city, Indiana",City
Indiana,"Richmond city, Indiana",City
Indiana,"South Bend city, Indiana",City
Texas,"Bowie County, Texas",County
Indiana,"Indianapolis city (balance), Indiana",City (Bal)
Indiana,"Fort Wayne city, Indiana",City
Texas,"Galveston County, Texas",County
Texas,"Grayson County, Texas",County
Texas,"Hunt County, Texas",County
Texas,"Jefferson County, Texas",County
Texas,"McLennan County, Texas",County
Texas,"Parker County, Texas",County
Texas,"Potter County, Texas",County
Texas,"Smith County, Texas",County
Texas,"Taylor County, Texas",County
Texas,"Wichita County, Texas",County
Indiana,"Greenwood city, Indiana",City
Indiana,"Jeffersonville city, Indiana",City
Indiana,"Lafayette city, Indiana",City
Indiana,"Mishawaka city, Indiana",City
Indiana,"New Albany city, Indiana",City
Indiana,"Terre Haute city, Indiana",City
Indiana,"West Lafayette city, Indiana",City
Indiana,"Zionsville town, Indiana",Town
Iowa,"Burlington city, Iowa",City
Iowa,"Clinton city, Iowa",City
Iowa,"Council Bluffs city, Iowa",City
Iowa,"Davenport city, Iowa",City
Iowa,"Des Moines city, Iowa",City
Iowa,"Dubuque city, Iowa",City
Iowa,"Marshalltown city, Iowa",City
Iowa,"Waterloo city, Iowa",City
Kansas,"Hutchinson city, Kansas",City
Kansas,"Kansas City city, Kansas",City
Kansas,"Wichita city, Kansas",City
Kansas,"Salina city, Kansas",City
Kansas,"Topeka city, Kansas",City
West Virginia,"Cabell County, West Virginia",County
West Virginia,"Kanawha County, West Virginia",County
West Virginia,"Monongalia County, West Virginia",County
Kentucky,"Covington city, Kentucky",City
Kentucky,"Frankfort city, Kentucky",City
Kentucky,"Hopkinsville city, Kentucky",City
Kentucky,"Louisville/Jefferson County metro government (balance), Kentucky",Metro Gov (Bal)
Kentucky,"Bowling Green city, Kentucky",City
Kentucky,"Elizabethtown city, Kentucky",City
Kentucky,"Henderson city, Kentucky",City
Alabama,"Baldwin County, Alabama",County
Alabama,"Limestone County, Alabama",County
Alabama,"Madison County, Alabama",County
Alabama,"Shelby County, Alabama",County
Kentucky,"Richmond city, Kentucky",City
Louisiana,"New Orleans city, Louisiana",City
Louisiana,"Baton Rouge city, Louisiana",City
Louisiana,"Lake Charles city, Louisiana",City
Louisiana,"Monroe city, Louisiana",City
Alaska,"Anchorage Municipality, Alaska",Municipality
Louisiana,"New Iberia city, Louisiana",City
Louisiana,"Shreveport city, Louisiana",City
Louisiana,"Slidell city, Louisiana",City
Alaska,"Anchorage municipality, Alaska",Municipality
Louisiana,"Laplace CDP, Louisiana",Census Defined Place (CDP)
Arizona,"Mohave County, Arizona",County
Arizona,"Pima County, Arizona",County
Arizona,"Pinal County, Arizona",County
Louisiana,"Marrero CDP, Louisiana",Census Defined Place (CDP)
Louisiana,"Prairieville CDP, Louisiana",Census Defined Place (CDP)
Louisiana,"Alexandria city, Louisiana",City
Louisiana,"Bossier City city, Louisiana",City
Louisiana,"Central city, Louisiana",City
Louisiana,"Houma city, Louisiana",City
Louisiana,"Kenner city, Louisiana",City
Louisiana,"Metairie CDP, Louisiana",Census Defined Place (CDP)
Maine,"Bangor city, Maine",City
Maine,"Lewiston city, Maine",City
Arkansas,"Benton County, Arkansas",County
Arkansas,"Craighead County, Arkansas",County
Arkansas,"Faulkner County, Arkansas",County
Arkansas,"Saline County, Arkansas",County
Maryland,"Baltimore city, Maryland",City
Maryland,"Hagerstown city, Maryland",City
Maryland,"Dundalk CDP, Maryland",Census Defined Place (CDP)
Maryland,"Edgewood CDP, Maryland",Census Defined Place (CDP)
Maryland,"Catonsville CDP, Maryland",Census Defined Place (CDP)
Maryland,"Chillum CDP, Maryland",Census Defined Place (CDP)
Maryland,"College Park city, Maryland",City
Maryland,"Essex CDP, Maryland",Census Defined Place (CDP)
California,"Butte County, California",County
California,"Kern County, California",County
California,"Kings County, California",County
California,"Napa County, California",County
California,"Shasta County, California",County
California,"Tulare County, California",County
Maryland,"Glen Burnie CDP, Maryland",Census Defined Place (CDP)
Maryland,"Lochearn CDP, Maryland",Census Defined Place (CDP)
Maryland,"Middle River CDP, Maryland",Census Defined Place (CDP)
Maryland,"Montgomery Village CDP, Maryland",Census Defined Place (CDP)
Maryland,"Pasadena CDP, Maryland",Census Defined Place (CDP)
Massachusetts,"Fall River city, Massachusetts",City
Massachusetts,"Fitchburg city, Massachusetts",City
Massachusetts,"Holyoke city, Massachusetts",City
Massachusetts,"Springfield city, Massachusetts",City
Massachusetts,"Chicopee city, Massachusetts",City
Massachusetts,"Everett city, Massachusetts",City
Massachusetts,"New Bedford city, Massachusetts",City
Massachusetts,"Peabody city, Massachusetts",City
Massachusetts,"Pittsfield city, Massachusetts",City
Massachusetts,"Quincy city, Massachusetts",City
Massachusetts,"Revere city, Massachusetts",City
Massachusetts,"Taunton city, Massachusetts",City
Massachusetts,"Worcester city, Massachusetts",City
Michigan,"Detroit city, Michigan",City
Michigan,"Flint city, Michigan",City
Michigan,"Saginaw city, Michigan",City
Michigan,"Battle Creek city, Michigan",City
Michigan,"Burton city, Michigan",City
Michigan,"Jackson city, Michigan",City
Michigan,"Kalamazoo city, Michigan",City
Michigan,"Lansing city, Michigan",City
Michigan,"Lincoln Park city, Michigan",City
Michigan,"Muskegon city, Michigan",City
Michigan,"Pontiac city, Michigan",City
Michigan,"Allen Park city, Michigan",City
Michigan,"Dearborn city, Michigan",City
Connecticut,"Fairfield County, Connecticut",County
Connecticut,"Litchfield County, Connecticut",County
Connecticut,"New Haven County, Connecticut",County
Connecticut,"New London County, Connecticut",County
Connecticut,"Windham County, Connecticut",County
Michigan,"Dearborn Heights city, Michigan",City
Michigan,"Eastpointe city, Michigan",City
Michigan,"Grand Rapids city, Michigan",City
Michigan,"Port Huron city, Michigan",City
Michigan,"Warren city, Michigan",City
Michigan,"Wyandotte city, Michigan",City
Mississippi,"Jackson city, Mississippi",City
Delaware,"Kent County, Delaware",County
Delaware,"Sussex County, Delaware",County
Mississippi,"Greenville city, Mississippi",City
District of Columbia,"District of Columbia, District of Columbia",DC
Mississippi,"Gulfport city, Mississippi",City
Florida,"Bay County, Florida",County
Florida,"Brevard County, Florida",County
Florida,"Charlotte County, Florida",County
Florida,"Clay County, Florida",County
Florida,"Escambia County, Florida",County
Florida,"Hernando County, Florida",County
Florida,"Hillsborough County, Florida",County
Florida,"Lee County, Florida",County
Florida,"Martin County, Florida",County
Florida,"Osceola County, Florida",County
Florida,"Pasco County, Florida",County
Florida,"Pinellas County, Florida",County
Florida,"Polk County, Florida",County
Florida,"St. Johns County, Florida",County
Florida,"Santa Rosa County, Florida",County
Florida,"Sumter County, Florida",County
Florida,"Volusia County, Florida",County
Mississippi,"Hattiesburg city, Mississippi",City
Mississippi,"Meridian city, Mississippi",City
Mississippi,"Biloxi city, Mississippi",City
Mississippi,"Horn Lake city, Mississippi",City
Mississippi,"Tupelo city, Mississippi",City
Missouri,"St. Louis city, Missouri",City
Missouri,"Independence city, Missouri",City
Missouri,"Joplin city, Missouri",City
Missouri,"Kansas City city, Missouri",City
Missouri,"St. Joseph city, Missouri",City
Missouri,"University City city, Missouri",City
Missouri,"Cape Girardeau city, Missouri",City
Missouri,"Florissant city, Missouri",City
Missouri,"Gladstone city, Missouri",City
Missouri,"Grandview city, Missouri",City
Missouri,"Hazelwood city, Missouri",City
Missouri,"Jefferson City city, Missouri",City
Missouri,"Raytown city, Missouri",City
Missouri,"Springfield city, Missouri",City
Montana,"Butte-Silver Bow (balance), Montana",City (bal)
Nebraska,"Fremont city, Nebraska",City
Nebraska,"Omaha city, Nebraska",City
Nevada,"Pahrump CDP, Nevada",Census Defined Place (CDP)
Nevada,"Sunrise Manor CDP, Nevada",Census Defined Place (CDP)
Nevada,"Enterprise CDP, Nevada",Census Defined Place (CDP)
Nevada,"Las Vegas city, Nevada",City
Nevada,"North Las Vegas city, Nevada",City
Nevada,"Spring Valley CDP, Nevada",Census Defined Place (CDP)
Nevada,"Summerlin South CDP, Nevada",Census Defined Place (CDP)
Nevada,"Winchester CDP, Nevada",Census Defined Place (CDP)
New Jersey,"Camden city, New Jersey",City
New Jersey,"Trenton city, New Jersey",City
New Jersey,"Atlantic City city, New Jersey",City
New Jersey,"Clifton city, New Jersey",City
New Jersey,"East Orange city, New Jersey",City
New Jersey,"Millville city, New Jersey",City
New Jersey,"Newark city, New Jersey",City
New Jersey,"Paterson city, New Jersey",City
New Jersey,"Vineland city, New Jersey",City
New Jersey,"Elizabeth city, New Jersey",City
New Jersey,"Englewood city, New Jersey",City
New Jersey,"Garfield city, New Jersey",City
New Jersey,"Jersey City city, New Jersey",City
New Jersey,"Kearny town, New Jersey",Town
Florida,"University CDP (Hillsborough County), Florida",CDP
New Jersey,"Linden city, New Jersey",City
New Jersey,"Long Branch city, New Jersey",City
New Jersey,"Passaic city, New Jersey",City
Georgia,"Bartow County, Georgia",County
Georgia,"Carroll County, Georgia",County
Georgia,"Chatham County, Georgia",County
Georgia,"Clarke County, Georgia",County
Georgia,"Clayton County, Georgia",County
Georgia,"Henry County, Georgia",County
Georgia,"Newton County, Georgia",County
Georgia,"Athens-Clarke County unified government (balance), Georgia",UNI or CONS GOV
New Jersey,"Plainfield city, New Jersey",City
New Jersey,"Rahway city, New Jersey",City
New Jersey,"Toms River CDP, New Jersey",Census Defined Place (CDP)
New Jersey,"Westfield town, New Jersey",Town
New Mexico,"Alamogordo city, New Mexico",City
Hawaii,"Hawaii County, Hawaii",County
Hawaii,"Maui County, Hawaii",County
New Mexico,"Hobbs city, New Mexico",City
New Mexico,"South Valley CDP, New Mexico",Census Defined Place (CDP)
New Mexico,"Carlsbad city, New Mexico",City
New Mexico,"Clovis city, New Mexico",City
New Mexico,"Farmington city, New Mexico",City
Illinois,"Cook County, Illinois",County
Illinois,"DeKalb County, Illinois",County
Illinois,"Peoria County, Illinois",County
Illinois,"Rock Island County, Illinois",County
Illinois,"Sangamon County, Illinois",County
Illinois,"Winnebago County, Illinois",County
New Mexico,"Roswell city, New Mexico",City
New York,"Buffalo city, New York",City
New York,"Newburgh city, New York",City
New York,"Schenectady city, New York",City
New York,"Albany city, New York",City
New York,"Binghamton city, New York",City
New York,"Elmira city, New York",City
New York,"Jamestown city, New York",City
New York,"Middletown city, New York",City
New York,"Rochester city, New York",City
New York,"Rome city, New York",City
New York,"Syracuse city, New York",City
New York,"Troy city, New York",City
New York,"Utica city, New York",City
New York,"Huntington Station CDP, New York",Census Defined Place (CDP)
Indiana,"Allen County, Indiana",County
Indiana,"Clark County, Indiana",County
Indiana,"Elkhart County, Indiana",County
Indiana,"Tippecanoe County, Indiana",County
New York,"Auburn city, New York",City
New York,"Bay Shore CDP, New York",Census Defined Place (CDP)
New York,"Brentwood CDP, New York",Census Defined Place (CDP)
New York,"Central Islip CDP, New York",Census Defined Place (CDP)
New York,"Cheektowaga CDP, New York",Census Defined Place (CDP)
New York,"Harrison village, New York",Village
New York,"Long Beach city, New York",City
New York,"Mount Vernon city, New York",City
New York,"New York city, New York",City
Iowa,"Dubuque County, Iowa",County
Iowa,"Pottawattamie County, Iowa",County
New York,"Niagara Falls city, New York",City
New York,"North Tonawanda city, New York",City
New York,"Ossining village, New York",Village
New York,"Port Chester village, New York",Village
